VARIABLE NAME                  | ADDRESS 
SYSCON0                        | 0x008F
SYS_TIMER_RELOAD_HIGH          | 0x00C3
SYS_TIMER_RELOAD_LOW           | 0x00C2
T21_RC2H                       | 0x00C3
T21_RC2L                       | 0x00C2
T21_T2CON                      | 0x00C0
T21_T2H                        | 0x00C5
T21_T2L                        | 0x00C4
T21_T2MOD                      | 0x00C1
T2CON                          | 0x00C8
T2_RC2H                        | 0x00C3
T2_RC2L                        | 0x00C2
T2_T2CON                       | 0x00C0
T2_T2H                         | 0x00C5
T2_T2L                         | 0x00C4
T2_T2MOD                       | 0x00C1
TCON                           | 0x0088
TH0                            | 0x008C
TH1                            | 0x008D
TH2                            | 0x00C5
TL0                            | 0x008A
TL1                            | 0x008B
TL2                            | 0x00C4
TMOD                           | 0x0089
UART1_BCON                     | 0x00CA
UART1_BG                       | 0x00CB
UART1_FDCON                    | 0x00CC
UART1_FDRES                    | 0x00CE
UART1_FDSTEP                   | 0x00CD
UART1_SBUF                     | 0x00C9
UART1_SCON                     | 0x00C8
VR0                            | 0x00FC
VR1                            | 0x00FD
VR2                            | 0x00FE
WDTCON                         | 0x00BB
WDTH                           | 0x00BF
WDTL                           | 0x00BE
WDTREL                         | 0x00BC
WDTWINB                        | 0x00BD
XADDRH                         | 0x00B3
XPAGE                          | 0x0091

--- Konstanten ---
ACK_0503                       | 0x0002
ACK_0503_BIT                   | 0x0001
ACK_0704                       | 0x0002
ACK_0704_BIT                   | 0x0001
ACK_07FF                       | 0x0001
ACK_07FF_BIT                   | 0x0000
ACK_0800                       | 0x0001
ACK_0800_BIT                   | 0x0000
ACK_5002                       | 0x0001
ACK_5002_BIT                   | 0x0000
ACK_FE01                       | 0x0004
ACK_FE01_BIT                   | 0x0002
ACK_FF00                       | 0x0001
ACK_FF00_BIT                   | 0x0000
ACK_FF02                       | 0x0002
ACK_FF02_BIT                   | 0x0001
ACK_REG_STOP                   | 0x0001
ACK_REG_STOP_BIT               | 0x0000
AD8_OF_25GRDC                  | 0x00D5
ADC_BREAK                      | 0x00FF
ADC_MXCODE                     | 0x0003
ADC_NONE                       | 0x0001
ADC_SHORT                      | 0x0000
ADX_BREAK                      | 0xFFC4
ADX_NONE                       | 0xFFD8
ADX_SHORT                      | 0xFFCE
ADX_TEST                       | 0x007C
AD_SCALE_2                     | 0x0014
AD_SCALE_3                     | 0x0030
AD_SCALE_4                     | 0x0050
AD_SCALE_5                     | 0x0070
AD_SCALE_6                     | 0x0090
AD_TWWSOLL_MAX                 | 0x00E9
AIN_ERR_BW1                    | 0x0010
AIN_ERR_BW2                    | 0x0040
AIN_ERR_NI1000                 | 0x0001
AIN_ERR_TAUSS                  | 0x0004
AIO_900                        | 0x0000
AI_ANAIN5                      | 0x0005
AI_ANAIN6                      | 0x0006
AI_ANAIN7                      | 0x0007
AI_ESTB1                       | 0x0005
AI_ESTB2                       | 0x0007
AI_MUXER                       | 0x0003
AI_REF                         | 0x0003
AI_THZ                         | 0x0006
AI_TRL                         | 0x0004
AI_TVL                         | 0x0006
ANZ_INFONR                     | 0x0078
BAUDRATE                       | 0x0960
BCCARD                         | 0x0000
BOOSTER_ANL_MASK               | 0x00FB
BOOSTER_ORL_MASK               | 0x0004
CCU6_PAGE                      | 0x00A3
CS_BYTE_RD                     | 0x00A1
CS_BYTE_WR                     | 0x00A0
C_DECGAP                       | 0x00B4
C_MX_RES_CNT                   | 0x0005
DAC0                           | 0xF3DC
DDRX_OFFSET_S1                 | 0x0013
DDSPERRZAEHLER                 | 0x0012
DDTX_OFFSET_CNT                | 0x0014
DE_MAX_CNT                     | 0x0050
DE_MIN_CNT                     | 0x0011
DIG0                           | 0xF3E0
DIG1                           | 0xF3E1
DIG10                          | 0xF3EA
DIG11                          | 0xF3EB
DIG12                          | 0xF3EC
DIG13                          | 0xF3ED
DIG14                          | 0xF3EE
DIG15                          | 0xF3EF
DIG2                           | 0xF3E2
DIG3                           | 0xF3E3
DIG4                           | 0xF3E4
DIG5                           | 0xF3E5
DIG6                           | 0xF3E6
DIG7                           | 0xF3E7
DIG8                           | 0xF3E8
DIG9                           | 0xF3E9
DIG_TST                        | 0x0014
DIG_TST_2                      | 0x00F5
DL_BOOSTERPLUS                 | 0x0028
EBUS_0307_HARDWARE             | 0x10F0
EBUS_0307_SOFTWARE             | 0x1100
EBUS_S7                        | 0x0000
EBUS_SCHICHT_2                 | 0x0000
EEAEPKANF                      | 0x001B
EEAEPKANF2                     | 0x0053
EEAEPKCRC                      | 0x0051
EEAEPKCRC2                     | 0x0089
EEA_ANF                        | 0x0000
EEA_ANF2                       | 0x0100
EEA_BAUSTAND                   | 0x01EE
EEA_CONST_ANF                  | 0x0002
EEA_CONST_ANF2                 | 0x008C
EEA_CONST_ANF_BCC              | 0x040B
EEA_CONST_CRC                  | 0x0018
EEA_CONST_CRC2                 | 0x00A2
EEA_CONST_CRC_BCC              | 0x0421
EEA_EPDEF_ANF_BCC              | 0x0459
EEA_EPK_ANF_BCC                | 0x0422
EEA_EPK_CRC_BCC                | 0x0458
EEA_FCODE_NOT                  | 0x0194
EEA_FC_11                      | 0x01D6
EEA_FC_12                      | 0x01D4
EEA_FC_14                      | 0x01D2
EEA_FC_15                      | 0x01D0
EEA_FC_16                      | 0x01CE
EEA_FC_18                      | 0x01CC
EEA_FC_21                      | 0x01CA
EEA_FC_22                      | 0x01C8
EEA_FC_23                      | 0x01C6
EEA_FC_24                      | 0x01C4
EEA_FC_30                      | 0x01C2
EEA_FC_31                      | 0x01C0
EEA_FC_32                      | 0x01BE
EEA_FC_33                      | 0x01BC
EEA_FC_34                      | 0x01BA
